X coordinate,Y coordinate,stepratio,photoncount,label
,,1.530911,611749.3071,1
,,1.552488,927110.8751,1
178,42,0.230013,101349.0226,0
,,1.05877,169905.7467,1
,,1.308155,1064801.788,1
178,42,0.230013,101349.0226,0
,,1.097904,196534.3205,1
,,1.297306,1039737.045,1
194,44,1.198027,19943.81915,1
,,0.698963,89187.11931,0
,,0.479406,108240.4871,0
224,50,0.473791,-5798.606112,0
,,0.421726,21998.60881,0
,,0.752762,15546.19892,0
195,38,1.058485,14883.81727,1
,,1.833857,336763.5784,1
,,1.329418,94532.17768,1
208,32,0.421499,59720.67437,0
,,1.393826,599897.4695,1
,,1.610544,619234.2012,1
,,1.479912,-59040.89244,1
210,26,1.05874,55345.93203,1
,,1.176338,196711.8639,1
237,24,0.379227,102927.7778,0
,,1.285216,941079.2831,1
192,10,0.603862,60809.92744,0
,,1.697547,190770.291,1
170,15,1.230506,29894.93768,1
,,1.394104,792948.2195,1
154,21,1.118209,134936.3253,1
172,25,0.315282,13993.85405,0
,,0.581883,100004.7236,0
,,1.479569,968927.6999,1
,,2.024159,-17732.55202,1
141,19,1.501238,271177.2504,1
,,1.528687,778411.1441,1
136,37,1.015493,23091.84564,1
,,0.782838,163486.9543,0
,,1.479339,411993.3248,1
,,0.864689,89161.42182,0
158,44,0.386118,38391.69006,0
,,1.713103,103795.5274,1
,,1.308694,297590.5182,1
124,26,0.684936,20927.01174,0
,,1.389992,401214.8399,1
,,2.164014,239010.2495,1
122,18,1.367376,813182.9121,1
,,1.373629,713307.5905,1
167,29,1.167385,93618.60337,1
148,25,1.68635,103317.6349,1
162,29,0.930618,132838.1316,0
,,1.682227,10323.84499,1
116,12,1.698527,128602.3334,1
,,1.414878,145924.8826,1
,,1.403884,116462.1884,1
108,14,0.684387,38812.11005,0
,,1.890167,966309.1029,1
,,1.528839,117928.1547,1
93,43,1.182393,206862.378,1
99,66,1.251886,5847.00133,1
,,0.804057,60353.55403,0
,,1.486012,582648.4321,1
,,1.192346,50756.87136,1
96,102,1.917325,88444.13037,1
84,22,0.331459,10778.81024,0
,,2.279909,63705.66376,1
84,8,0.747001,11603.3589,0
,,0.876292,101397.7289,0
,,2.125819,1339053.133,1
,,2.7216,50654.29641,1
96,62,1.368863,19986.50031,1
,,0.726568,271859.3759,0
,,1.7063,328165.9168,1
91,88,0.537845,28261.41192,0
,,2.0788,588607.771,1
,,1.813994,100274.757,1
70,62,1.845952,7597.195002,1
,,0.549058,64063.16599,0
,,2.104938,833681.0636,1
78,53,0.379403,33157.92859,0
,,1.791816,99410.28073,1
106,134,0.51492,8454.43536,0
,,2.170086,333759.3911,1
93,126,1.403017,43268.30925,1
,,0.685263,75569.27904,0
,,1.984417,435164.6212,1
76,96,2.83026,213164.572,1
,,2.239872,226751.736,1
,,2.794702,166341.2197,1
74,159,0.369235,31205.81279,0
,,1.946049,354337.6905,1
,,1.605501,220023.3803,1
,,0.698488,-37472.30835,0
108,172,1.004581,19952.24972,1
,,1.463135,267970.747,1
,,1.589298,285067.0447,1
75,90,0.207776,70893.41174,0
,,2.174678,366937.6473,1
,,2.396652,695280.942,1
65,43,1.714509,185666.5963,1
,,1.962999,878141.5068,1
70,17,0.782842,2350.322022,0
,,0.778487,32229.00317,0
,,2.179881,327588.13,1
,,1.263882,64238.79808,1
68,24,0.537023,-12148.46025,0
,,0.214099,65512.57964,0
,,1.136085,456106.6604,1
,,1.485815,79984.479,1
